Todo a uno	Suma tiempo helicopteros			Suma tiempo helicopteros ponderada		
	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final
1000	26639	92	2597.307873	24175	133	2212.87794
1001	25774	91	2778.591254	27333	142	2539.471967
1002	27693	100	2781.454209	24509	135	2262.786445
1003	26495	98	2751.150474	25426	145	2443.949665
1004	25411	93	2731.667107	25824	153	2188.87772
1005	26295	93	2531.461767	22197	112	2277.359503
1006	23982	85	2871.026196	26095	137	2529.375672
1007	26279	93	3013.482884	27447	160	2469.93291
1008	24249	89	2568.935361	22729	110	2415.247384
1009	25759	84	2835.35087	20977	123	2365.146194
